           timestamp           | temperature 
-------------------------------+-------------
 2021-05-04 16:59:13.802579+00 | 30.50
 2021-05-04 16:54:08.531099+00 | 29.50
 2021-05-04 16:49:02.973421+00 | 24.50
 2021-05-04 16:43:58.917073+00 | 20.50
 2021-05-04 16:38:56.151011+00 | 22.50
 2021-05-04 16:33:54.902827+00 | 28.00
 2021-05-04 16:28:51.269451+00 | 29.50
 2021-05-04 16:23:49.526127+00 | 30.50
 2021-05-04 16:18:45.52471+00  | 29.50
 2021-05-04 16:13:41.458347+00 | 27.00
 2021-05-04 16:08:36.784326+00 | 24.50
 2021-05-04 16:03:30.127842+00 | 18.50
 2021-05-04 15:58:24.376312+00 | 15.50
 2021-05-04 15:53:21.656766+00 | 17.00
 2021-05-04 15:48:19.004152+00 | 20.50
 2021-05-04 15:43:15.257171+00 | 22.50
 2021-05-04 15:38:10.752974+00 | 21.50
 2021-05-04 15:33:05.462068+00 | 17.50
 2021-05-04 15:28:02.443463+00 | 19.00
 2021-05-04 15:22:59.711699+00 | 21.50
 2021-05-04 15:17:56.715132+00 | 24.00
 2021-05-04 15:12:52.437196+00 | 24.50
 2021-05-04 15:07:48.732469+00 | 28.50
 2021-05-04 15:02:45.511648+00 | 25.00
 2021-05-04 14:57:43.716746+00 | 29.00
 2021-05-04 14:52:39.880642+00 | 29.00
 2021-05-04 14:47:35.193633+00 | 29.50
 2021-05-04 14:42:32.939816+00 | 31.00
 2021-05-04 14:37:25.316718+00 | 29.00
 2021-05-04 14:32:20.537386+00 | 26.50
 2021-05-04 14:27:17.018426+00 | 22.00
 2021-05-04 14:22:14.406481+00 | 24.00
 2021-05-04 14:17:11.075929+00 | 25.00
 2021-05-04 14:12:07.008163+00 | 26.50
 2021-05-04 14:07:04.1312+00   | 30.00
 2021-05-04 14:02:02.595012+00 | 36.50
 2021-05-04 13:56:57.547358+00 | 36.50
 2021-05-04 13:51:53.683169+00 | 35.00
 2021-05-04 13:46:47.285836+00 | 32.50
 2021-05-04 13:36:42.339983+00 | 36.00
 2021-05-04 13:31:38.664418+00 | 38.50
 2021-05-04 13:26:34.907003+00 | 37.50
